Archero	Ação	4.5
Fúria Sniper	Ação	4.2
Sniper 3D	Ação	4.5
Super Mario Run	Ação	3.8
Temple Run 2	Ação	4.4
Buraco	Cartas	4.5
FreeCell	Cartas	4.5
Paciência	Cartas	4.4
Solitário	Cartas	4.7
Corrida de Rua 3D	Corrida	4.4
Corrida de Moto Real 3D	Corrida	4.2
Correndo no carro	Corrida	3.9
Real Racing 3	Corrida	4.5
Basketball	Esportes	4.4
Estalido Tênis 3D	Esportes	4.4
Fifa Futebol	Esportes	4.1
Futebol	Esportes	2.8
Pes 2019	Esportes	4.2
Snowboard Master 3D	Esportes	4.3
The Journey Jogo de surf	Esportes	4.0
Atirador de Bolhas	Estratégia	4.4
Crazy Chef	Estratégia	4.6
Influence	Estratégia	4.0
Narcos	Estratégia	4.6
Xadrez	Estratégia	4.2
CodyCross	Palavras	4.5
Caça-palavras	Palavras	4.5
Pilha Palavras	Palavras	4.7
Palavras Conectadas	Palavras	4.7
Words of Wonders	Palavras	4.6
Block Puzzle	Quebra-cabeça	4.5
Energy	Quebra-cabeça	4.7
Jewels clássico 	Quebra-cabeça	4.5
Sudoku	Quebra-cabeça	4.8
Spot Conect	Quebra-cabeça	4.5
Exiled Kingdoms	RPG	4.6
Evil Lands	RPG	4.4
Nova Fantasia 	RPG	4.1
Order & Chaos 2	RPG	3.9
Vampire’s Fall	RPG	4.6
